"name","name_1","lon","lat"
"Ocuilan","México",-99.3964162925341,19.0092340959872
"Otumba","México",-98.7383925938149,19.6560195066617
"Otzoloapan","México",-100.318947170393,19.1080300580814
"Otzolotepec","México",-99.5272923727626,19.4506351303253
"Ozumba","México",-98.8096234485238,19.0218876581789
"Papalotla","México",-98.8578597022909,19.5598818970068
"Polotitlán","México",-99.8316784000178,20.2240779086716
"Rayón","México",-99.5670751042103,19.1388795877776
"San Antonio la Isla","México",-99.5512864809302,19.168882468547
"San Felipe del Progreso","México",-99.9825233502568,19.6532170385678
"San José del Rincón","México",-100.14533050677,19.6195971648677
"San Martín de las Pirámides","México",-98.8321945827007,19.7197713002403
"San Mateo Atenco","México",-99.5396880090695,19.2655303477155
"San Simón de Guerrero","México",-100.036871728664,18.9800548192987
"Santo Tomás","México",-100.299812912886,19.1796879510411
"Soyaniquilpan de Juárez","México",-99.513874376978,20.0518053459448
"Sultepec","México",-99.989203379007,18.7346210152621
"Tecámac","México",-98.9865078455854,19.705836506252
"Tejupilco","México",-100.213091337282,18.8737972437647
"Temamatla","México",-98.8837773222667,19.1889326172339
"Temascalapa","México",-98.8810687211539,19.8191207392386
"Temascalcingo","México",-100.037004860334,19.9212574281481
"Temascaltepec","México",-99.9965947851722,19.0813623444684
"Temoaya","México",-99.6024694667279,19.4849595956916
"Tenancingo","México",-99.5692202578633,18.9670198607315
"Tenango del Aire","México",-98.8701506083359,19.1516371512557
"Tenango del Valle","México",-99.6292609564111,19.0816644069729
"Teoloyucan","México",-99.1681847919813,19.7622073988872
"Teotihuacán","México",-98.8706614997861,19.6863192881932
"Tepetlaoxtoc","México",-98.7654721257037,19.5693824822662
"Tepetlixpa","México",-98.8412838969044,19.0099403441855
"Tepotzotlán","México",-99.3061936819199,19.7252131302946
"Tequixquiac","México",-99.1495885140042,19.9046479432163
"Texcaltitlán","México",-99.9392985474132,18.939564311596
"Texcalyacac","México",-99.5064291036477,19.1296439998876
"Texcoco","México",-98.8277922178493,19.4716241966501
"Tezoyuca","México",-98.9310083626662,19.5968652841366
"Tianguistenco","México",-99.432163793368,19.1623001990253
"Timilpan","México",-99.7180415895398,19.8963457821424
"Tlalmanalco","México",-98.7319696777355,19.2089023269743
"Tlalnepantla de Baz","México",-99.1701463548761,19.5427453248915
"Tlatlaya","México",-100.257083171313,18.5444826348227
"Toluca","México",-99.6664054974013,19.2970886742649
"Tonanitla","México",-99.0583652236375,19.6818359386014
"Tonatico","México",-99.6375592478019,18.7809034876277
"Tultepec","México",-99.1196483037887,19.6793050500025
"Tultitlán","México",-99.1452884268194,19.6262095047422
"Valle de Bravo","México",-100.121950261168,19.1777677499075
"Valle de Chalco Solidaridad","México",-98.9483603376543,19.276389314001
"Villa de Allende","México",-100.137563722085,19.3872429603488
"Villa del Carbón","México",-99.4784326292626,19.7210614153013
"Villa Guerrero","México",-99.6877294913264,18.9742990946372
"Villa Victoria","México",-99.9921342548284,19.4427502536028
"Xalatlaco","México",-99.3592706389747,19.1652452232138
"Xonacatlán","México",-99.467598732094,19.436951056515
"Zacazonapan","México",-100.256110299591,19.0608296260008
"Zacualpan","México",-99.8128110457008,18.7158201778574
"Zinacantepec","México",-99.7977031105797,19.2154040427574
"Zumpahuacán","México",-99.5540893454374,18.8001173934875
"Zumpango","México",-99.0718205573022,19.8091067884574
