"name","name_1","lon","lat","pm25_mean","pm25_sd","pm25_q2.5","pm25_q97.5"
"Calimaya","México",-99.6432754133488,19.165530453654,17.6356239166122,1.03870116773595,16.4025757935978,19.0075110139726
"Capulhuac","México",-99.4597383125319,19.2087020462631,17.6590756291145,1.03710342185111,16.4545800562422,18.9738206843477
"Chalco","México",-98.8316954377758,19.2536014219007,17.9794156578311,1.03535653872722,16.8067708355781,19.272344914601
"Chapa de Mota","México",-99.5509391080675,19.8257553506514,17.6368305579902,1.03871552529081,16.4012802183521,19.0048128034665
"Chapultepec","México",-99.5504536805964,19.2065058376275,17.6417036808759,1.03825843598999,16.4181670562732,18.9971897017719
"Chiautla","México",-98.8833849409547,19.5730368862626,17.5644032032471,1.03210468370077,16.5410458206694,18.6989299687013
"Chicoloapan","México",-98.8781075843618,19.4054171658694,18.1056528808168,1.02983048247888,17.0968967960731,19.1823614321277
"Chiconcuac","México",-98.8966959211643,19.5562790861199,17.5867019235275,1.03094436914222,16.5864820827215,18.6919221048098
"Chimalhuacán","México",-98.9471670082334,19.4162357325345,18.2736918555032,1.02158943779308,17.503031308716,19.0611964924383
"Coacalco de Berriozábal","México",-99.1023955041119,19.6262899752824,17.7885773578011,1.025617395521,16.9517339185181,18.7088630059435
"Coatepec Harinas","México",-99.7982569400371,18.9463281213227,17.6330160525637,1.03887087562847,16.3945078950758,19.0110623771242
"Cocotitlán","México",-98.8588949802993,19.2260295241873,18.0287461949294,1.03497267157814,16.8651928287758,19.3134840885641
"Coyotepec","México",-99.2222053425533,19.7899844906921,17.5094229997588,1.03540164142601,16.3580544299449,18.762670562672
"Cuautitlán","México",-99.1594239924881,19.7082385932978,17.5760680174931,1.03143104936821,16.5260375521455,18.6797026678741
"Cuautitlán Izcalli","México",-99.2251856363797,19.6545670257982,18.0201881139385,1.03022796052986,16.990445786304,19.0991573209739
"Donato Guerra","México",-100.184843553572,19.3164419825942,17.632825657162,1.03888023262177,16.3939314748846,19.0111881043686
"Ecatepec de Morelos","México",-99.0432117359573,19.5727837336625,17.7876523281206,1.02900877379825,16.8056000150714,18.7936526079295
"Ecatzingo","México",-98.7366496037591,18.9680219599022,17.6465826843691,1.03872595917902,16.4122893633516,19.0192685973019
"El Oro","México",-100.075490532005,19.7988157978863,17.6328372861467,1.03887999081,16.3939483860868,19.0111816278804
"Huehuetoca","México",-99.2550310328557,19.8226285901806,17.5397897527896,1.03658669891146,16.3615868301972,18.8253470628155
"Hueypoxtla","México",-99.0280077529409,19.9524123470462,16.6408152416837,1.03124355607018,15.6516791071612,17.6691218923128
"Huixquilucan","México",-99.3395276021989,19.3831008234713,17.6670037328235,1.02988936743008,16.6698981747662,18.7413035059709
"Isidro Fabela","México",-99.4403760818743,19.5542432813964,17.7340132602431,1.03651710140822,16.5450112230468,19.0346080395499
"Ixtapaluca","México",-98.7790459506046,19.3427969336411,17.8347960604135,1.03613034013055,16.6534028851056,19.1397241595093
"Ixtapan de la Sal","México",-99.6908409961752,18.8506963946608,17.6331623158783,1.03886659415276,16.3948248267474,19.0110845384045
"Ixtapan del Oro","México",-100.277849909034,19.2574263839338,17.6328206471732,1.03888047180475,16.3939175338299,19.0111936836669
"Ixtlahuaca","México",-99.8069629972664,19.5898510213528,17.6337563154497,1.03885179977426,16.3957850621676,19.0106080490374
