"name","name_1","lon","lat","pm25_mean","pm25_sd","pm25_q2.5","pm25_q97.5"
"Axapusco","México",-98.7212962762461,19.763057201737,17.4826788810072,1.03637873863886,16.2516223892848,18.7812166440395
"Ayapango","México",-98.81635586345,19.1242909339143,17.7496342303523,1.03670773803663,16.4989147740501,19.0810311654498
"Calimaya","México",-99.6432754133488,19.165530453654,17.6374843070379,1.0377086688528,16.3592762437955,19.0103779981218
"Capulhuac","México",-99.4597383125319,19.2087020462631,17.6612011209414,1.03618301802744,16.4216884564346,18.9621323154753
"Chalco","México",-98.8316954377758,19.2536014219007,17.9818225583617,1.03446707532618,16.8016522782106,19.2393870664284
"Chapa de Mota","México",-99.5509391080675,19.8257553506514,17.6386676596242,1.03771565961513,16.3621169756599,19.0087494204063
"Chapultepec","México",-99.5504536805964,19.2065058376275,17.6436339803368,1.03728324785619,16.373433229857,19.0019924366035
"Chiautla","México",-98.8833849409547,19.5730368862626,17.5651511389165,1.03115632546733,16.4928372105384,18.6877458683299
"Chicoloapan","México",-98.8781075843618,19.4054171658694,18.1059176688722,1.02905657419687,17.1024515449006,19.1757468445723
"Chiconcuac","México",-98.8966959211643,19.5562790861199,17.5873913862345,1.03000213194006,16.5623665719016,18.6727319323524
"Chimalhuacán","México",-98.9471670082334,19.4162357325345,18.269325094192,1.02115446542663,17.5019244919842,19.014063357767
"Coacalco de Berriozábal","México",-99.1023955041119,19.6262899752824,17.7905779386211,1.02481685429136,16.94216419856,18.7029590916006
"Coatepec Harinas","México",-99.7982569400371,18.9463281213227,17.6348498746897,1.03787178221331,16.3525577040025,19.0103361297623
"Cocotitlán","México",-98.8588949802993,19.2260295241873,18.0314239082466,1.03410216531467,16.8573544130149,19.2750854159325
"Coyotepec","México",-99.2222053425533,19.7899844906921,17.5104360367814,1.03447741662315,16.3380447916301,18.7410391347088
"Cuautitlán","México",-99.1594239924881,19.7082385932978,17.5771539919765,1.03053809721747,16.5426223773138,18.678302094191
"Cuautitlán Izcalli","México",-99.2251856363797,19.6545670257982,18.0230942434416,1.0291773139267,17.0436131926551,19.1101633658923
"Donato Guerra","México",-100.184843553572,19.3164419825942,17.6346579678871,1.03788067684706,16.3521878455933,19.0102609512231
"Ecatepec de Morelos","México",-99.0432117359573,19.5727837336625,17.7896671032955,1.02865824802656,16.7989240419307,18.7768947243015
"Ecatzingo","México",-98.7366496037591,18.9680219599022,17.6484474754072,1.03773166239209,16.3682789144599,19.0186246825885
"El Oro","México",-100.075490532005,19.7988157978863,17.6346696065197,1.03788042668171,16.3522107576607,19.0102630861283
"Huehuetoca","México",-99.2550310328557,19.8226285901806,17.5410243339589,1.03563930033017,16.3287398048208,18.8160923083377
"Hueypoxtla","México",-99.0280077529409,19.9524123470462,16.637612976874,1.03066442812877,15.6242763823683,17.6786393332581
"Huixquilucan","México",-99.3395276021989,19.3831008234713,17.6696378380984,1.02898514113158,16.6877718520303,18.7251684108617
"Isidro Fabela","México",-99.4403760818743,19.5542432813964,17.7361373798096,1.03548779792523,16.5123449233627,19.0352169357059
"Ixtapaluca","México",-98.7790459506046,19.3427969336411,17.8365789128579,1.03519876070646,16.6348999415544,19.1132336806753
"Ixtapan de la Sal","México",-99.6908409961752,18.8506963946608,17.6349968161086,1.03786779668466,16.352740304207,19.0104433930831
"Ixtapan del Oro","México",-100.277849909034,19.2574263839338,17.6346529250484,1.03788091219771,16.3521751138914,19.010260830518
"Ixtlahuaca","México",-99.8069629972664,19.5898510213528,17.6355920522022,1.037852138748,16.3542071021126,19.0104447805632
"Jaltenco","México",-99.0889302302855,19.7387167303917,17.0320036103265,1.02906998432882,16.050174569394,18.0277610386863
"Jilotepec","México",-99.5965692940081,20.0191028817504,17.6340200371021,1.03785298189185,16.3524019116048,19.0085094376659
"Jilotzingo","México",-99.3904369658594,19.5060472097115,17.8127564026453,1.03316282557874,16.6750746513415,19.0295475916861
"Jiquipilco","México",-99.6416035227432,19.5860372328474,17.6422087542072,1.03767130111887,16.3678801396049,19.0120448180868
"Jocotitlán","México",-99.8234783630356,19.7173348780185,17.6351967408598,1.0378656096409,16.3533057904812,19.0103742842288
"Joquicingo","México",-99.5144815102683,19.0675669920083,17.6439091625678,1.03748019936813,16.3690041955714,19.0142733475478
"Juchitepec","México",-98.9040824368945,19.0935939337624,17.7912588746005,1.03611001119703,16.5546798927914,19.1029199213586
"La Paz","México",-98.947698571052,19.3610186169227,19.3774529851852,1.02225878093706,18.562980652238,20.2304261495969
"Lerma","México",-99.4748581860969,19.3450740541521,17.6569923833692,1.03587060267866,16.4288420918279,18.9418334287014
"Luvianos","México",-100.406484517151,18.940817941276,17.634651068233,1.03788100232073,16.3521704003941,19.0102607851209
"Malinalco","México",-99.4856424500741,18.8819180405939,17.637731877347,1.03778299125123,16.3566287302121,19.012100594691
"Melchor Ocampo","México",-99.1335471051927,19.709650133969,17.4641426050756,1.0299265970284,16.441417785251,18.5389311910937
"Metepec","México",-99.5883660568185,19.2473854569242,17.6408027842037,1.03744223696182,16.3687675268921,19.0082223504445
"Mexicaltzingo","México",-99.5840223991634,19.2112474700394,17.640787241545,1.03746953424978,16.3681203720307,19.0096055321133
"Morelos","México",-99.6417698962178,19.74343802802,17.6386161793841,1.037774753424,16.3601971000919,19.0110374905679
"Naucalpan de Juárez","México",-99.2926053942304,19.4712531456005,18.0712012472909,1.02516021303332,17.2514269244756,18.990860615914
"Nextlalpan","México",-99.0745243874789,19.7299417643226,17.0018387404011,1.02856055529083,16.0379686805296,17.9804443005742
"Nezahualcóyotl","México",-99.0226995164195,19.4225786547758,17.2764884096077,1.01878129727994,16.6617010332388,17.9094865367552
"Nicolás Romero","México",-99.3917279339293,19.6249704994422,17.7853940788795,1.03490549435767,16.5864973194508,19.0717411992297
"Nopaltepec","México",-98.7170891235639,19.812314331908,17.4693710712861,1.03641226121546,16.2407720120491,18.7665534390809
"Ocoyoacac","México",-99.4066406590913,19.2594662306813,17.6787683316621,1.03411891573668,16.5100980704873,18.8997341160054
"Ocuilan","México",-99.3964162925341,19.0092340959872,17.6556855752776,1.03720642704187,16.3863333606725,19.0126808630984
"Otumba","México",-98.7383925938149,19.6560195066617,17.5455157650352,1.03628347518565,16.3223001036392,18.8466069127486
"Otzoloapan","México",-100.318947170393,19.1080300580814,17.634651743378,1.03788096711266,16.352172098621,19.0102608203651
"Otzolotepec","México",-99.5272923727626,19.4506351303253,17.6600726895707,1.03680929663509,16.4085700996225,18.9986438742504
"Ozumba","México",-98.8096234485238,19.0218876581789,17.6750769119782,1.03743844133937,16.4064969069026,19.0348018466536
"Papalotla","México",-98.8578597022909,19.5598818970068,17.5948131640846,1.03230498450275,16.5006532289691,18.7530622156806
"Polotitlán","México",-99.8316784000178,20.2240779086716,17.6346299418484,1.03788036058841,16.3521687123921,19.0102132068688
